ID,image_name,time,place,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,validation,soil_validation
188,2025-07-18T09:23:23_Uni.jpg,2025-07-18T09:23:23,Uni,25.97,56.86,62708.0,51.42,46.4,24.7,16.3,no,B
189,2025-07-18T09:24:07_Uni.jpg,2025-07-18T09:24:07,Uni,26.65,55.09,62708.0,68.91,43.0,37.4,27.8,no,B
190,2025-07-18T09:24:32_Uni.jpg,2025-07-18T09:24:32,Uni,26.48,55.81,62708.0,55.13,20.9,26.8,0,no,B
191,2025-07-18T09:28:55_Uni.jpg,2025-07-18T09:28:55,Uni,25.38,57.6,62220.0,62.07,53.4,33.8,19.7,no,B
192,2025-07-18T09:30:32_Uni.jpg,2025-07-18T09:30:32,Uni,26.15,54.9,62220.0,48.09,27.4,40.6,33.5,no,B
193,2025-07-18T09:31:09_Uni.jpg,2025-07-18T09:31:09,Uni,25.89,55.43,62220.0,49.46,9.7,51.0,54.0,no,B
194,2025-07-18T09:31:51_Uni.jpg,2025-07-18T09:31:51,Uni,25.86,56.49,62220.0,46.33,43.0,42.8,19.8,no,B
195,2025-07-18T09:32:36_Uni.jpg,2025-07-18T09:32:36,Uni,26.6,56.27,62220.0,42.52,16.7,54.0,66.0,no,B
196,2025-07-18T09:33:00_Uni.jpg,2025-07-18T09:33:00,Uni,26.67,54.81,62220.0,46.24,35.2,40.1,38.8,no,B
197,2025-07-18T09:33:39_Uni.jpg,2025-07-18T09:33:39,Uni,26.76,53.73,62220.0,38.51,23.9,51.5,0,no,B
198,2025-07-18T09:34:07_Uni.jpg,2025-07-18T09:34:07,Uni,26.85,54.26,62220.0,43.01,28.8,30.7,20.6,no,B
199,2025-07-18T09:34:45_Uni.jpg,2025-07-18T09:34:45,Uni,26.84,53.63,62220.0,5.38,44.6,11.9,0,no,A
200,2025-07-18T09:35:47_Uni.jpg,2025-07-18T09:35:47,Uni,26.84,54.27,57462.0,50.34,80.1,22.2,9.7,no,B
201,2025-07-18T09:36:11_Uni.jpg,2025-07-18T09:36:11,Uni,27.11,54.33,57462.0,48.58,21.3,67.9,48.1,no,B
202,2025-07-18T09:36:59_Uni.jpg,2025-07-18T09:36:59,Uni,27.23,54.08,57462.0,59.82,6.9,44.2,22.5,no,B
203,2025-07-18T09:37:29_Uni.jpg,2025-07-18T09:37:29,Uni,26.83,53.45,57462.0,41.84,35.6,19.6,0,no,B
204,2025-07-18T09:38:25_Uni.jpg,2025-07-18T09:38:25,Uni,26.07,54.24,57462.0,37.15,19.3,21.3,0,no,B
205,2025-07-18T09:39:06_Uni.jpg,2025-07-18T09:39:06,Uni,25.61,55.69,57462.0,42.33,24.6,29.2,0,no,B
206,2025-07-18T09:39:31_Uni.jpg,2025-07-18T09:39:31,Uni,25.58,60.19,57462.0,44.67,31.2,65.1,51.2,no,B
207,2025-07-18T09:40:11_Uni.jpg,2025-07-18T09:40:11,Uni,26.21,58.12,57462.0,40.96,22.1,51.6,48.9,no,B
208,2025-07-18T09:40:47_Uni.jpg,2025-07-18T09:40:47,Uni,26.39,53.95,57462.0,41.15,47.3,13.6,0,no,B
209,2025-07-18T09:41:21_Uni.jpg,2025-07-18T09:41:21,Uni,26.29,54.23,57462.0,46.43,14.9,66.9,45.1,no,B
210,2025-07-18T12:22:36_Uni.jpg,2025-07-18T12:22:36,Uni,31.3,37.51,77226.0,28.54,58.2,22.7,10.0,no,B
211,2025-07-18T12:23:20_Uni.jpg,2025-07-18T12:23:20,Uni,31.44,37.36,77226.0,25.9,58.1,11.1,0,no,B
